x;value
0.329;-1.111697
0.330;-1.108662
0.331;-1.105637
0.332;-1.102620
0.333;-1.099613
0.334;-1.096614
0.335;-1.093625
0.336;-1.090644
0.337;-1.087672
0.338;-1.084709
0.339;-1.081755
0.340;-1.078809
0.341;-1.075873
0.342;-1.072944
0.343;-1.070025
0.344;-1.067113
0.345;-1.064211
0.346;-1.061316
0.347;-1.058430
0.348;-1.055553
0.349;-1.052683
0.350;-1.049822
0.351;-1.046969
0.352;-1.044124
0.353;-1.041287
0.354;-1.038458
0.355;-1.035637
0.356;-1.032824
0.357;-1.030019
0.358;-1.027222
0.359;-1.024432
0.360;-1.021651
0.361;-1.018877
0.362;-1.016111
0.363;-1.013352
0.364;-1.010601
0.365;-1.007858
0.366;-1.005122
0.367;-1.002393
0.368;-0.999672
0.369;-0.996958
0.370;-0.994252
0.371;-0.991553
0.372;-0.988861
0.373;-0.986177
0.374;-0.983499
0.375;-0.980829
0.376;-0.978166
0.377;-0.975510
0.378;-0.972861
0.379;-0.970219
0.380;-0.967584
0.381;-0.964956
0.382;-0.962335
0.383;-0.959720
0.384;-0.957113
0.385;-0.954512
0.386;-0.951918
0.387;-0.949330
0.388;-0.946750
0.389;-0.944176
0.390;-0.941608
0.391;-0.939048
0.392;-0.936493
0.393;-0.933946
0.394;-0.931404
0.395;-0.928869
0.396;-0.926341
0.397;-0.923819
0.398;-0.921303
0.399;-0.918794
0.400;-0.916291
0.401;-0.913794
0.402;-0.911303
0.403;-0.908819
0.404;-0.906340
0.405;-0.903868
0.406;-0.901402
0.407;-0.898942
0.408;-0.896488
0.409;-0.894040
0.410;-0.891598
0.411;-0.889162
0.412;-0.886732
0.413;-0.884307
0.414;-0.881889
0.415;-0.879476
0.416;-0.877070
0.417;-0.874669
0.418;-0.872274
0.419;-0.869884
0.420;-0.867500
0.421;-0.865122
0.422;-0.862750
0.423;-0.860383
0.424;-0.858022
0.425;-0.855666
0.426;-0.853316
0.427;-0.850971
0.428;-0.848632
0.429;-0.846298
0.430;-0.843970
0.431;-0.841647
0.432;-0.839330
0.433;-0.837017
0.434;-0.834711
0.435;-0.832409
0.436;-0.830113
0.437;-0.827822
0.438;-0.825536
0.439;-0.823256
0.440;-0.820980
0.441;-0.818710
0.442;-0.816445
0.443;-0.814185
0.444;-0.811931
0.445;-0.809681
0.446;-0.807436
0.447;-0.805197
0.448;-0.802962
0.449;-0.800732
0.450;-0.798508
0.451;-0.796288
0.452;-0.794073
0.453;-0.791863
0.454;-0.789658
0.455;-0.787458
0.456;-0.785262
0.457;-0.783072
0.458;-0.780886
0.459;-0.778705
0.460;-0.776529
0.461;-0.774357
0.462;-0.772190
0.463;-0.770028
0.464;-0.767871
0.465;-0.765718
0.466;-0.763570
0.467;-0.761426
0.468;-0.759287
0.469;-0.757152
0.470;-0.755023
0.471;-0.752897
0.472;-0.750776
0.473;-0.748660
0.474;-0.746548
0.475;-0.744440
0.476;-0.742337
0.477;-0.740239
0.478;-0.738144
0.479;-0.736054
0.480;-0.733969
0.481;-0.731888
0.482;-0.729811
0.483;-0.727738
0.484;-0.725670
0.485;-0.723606
0.486;-0.721546
0.487;-0.719491
0.488;-0.717440
0.489;-0.715393
0.490;-0.713350
0.491;-0.711311
0.492;-0.709276
0.493;-0.707246
0.494;-0.705220
0.495;-0.703197
0.496;-0.701179
0.497;-0.699165
0.498;-0.697155
0.499;-0.695149
0.500;-0.693147
0.501;-0.691149
0.502;-0.689155
0.503;-0.687165
0.504;-0.685179
0.505;-0.683197
0.506;-0.681219
0.507;-0.679244
0.508;-0.677274
0.509;-0.675307
0.510;-0.673344
0.511;-0.671386
0.512;-0.669431
0.513;-0.667479
0.514;-0.665532
0.515;-0.663588
0.516;-0.661648
0.517;-0.659712
0.518;-0.657780
0.519;-0.655851
0.520;-0.653926
0.521;-0.652005
0.522;-0.650088
0.523;-0.648174
0.524;-0.646264
0.525;-0.644357
0.526;-0.642454
0.527;-0.640555
0.528;-0.638659
0.529;-0.636767
0.530;-0.634878
0.531;-0.632993
0.532;-0.631112
0.533;-0.629234
0.534;-0.627359
0.535;-0.625489
0.536;-0.623621
0.537;-0.621757
0.538;-0.619897
0.539;-0.618040
0.540;-0.616186
0.541;-0.614336
0.542;-0.612489
0.543;-0.610646
0.544;-0.608806
0.545;-0.606969
0.546;-0.605136
0.547;-0.603306
0.548;-0.601480
0.549;-0.599657
0.550;-0.597837
0.551;-0.596020
0.552;-0.594207
0.553;-0.592397
0.554;-0.590591
0.555;-0.588787
0.556;-0.586987
0.557;-0.585190
0.558;-0.583396
0.559;-0.581606
0.560;-0.579818
0.561;-0.578034
0.562;-0.576253
0.563;-0.574476
0.564;-0.572701
0.565;-0.570930
0.566;-0.569161
0.567;-0.567396
0.568;-0.565634
0.569;-0.563875
0.570;-0.562119
0.571;-0.560366
0.572;-0.558616
0.573;-0.556869
0.574;-0.555126
0.575;-0.553385
0.576;-0.551648
0.577;-0.549913
0.578;-0.548181
0.579;-0.546453
0.580;-0.544727
0.581;-0.543004
0.582;-0.541285
0.583;-0.539568
0.584;-0.537854
0.585;-0.536143
0.586;-0.534435
0.587;-0.532730
0.588;-0.531028
0.589;-0.529329
0.590;-0.527633
0.591;-0.525939
0.592;-0.524249
0.593;-0.522561
0.594;-0.520876
0.595;-0.519194
0.596;-0.517515
0.597;-0.515838
0.598;-0.514164
0.599;-0.512494
0.600;-0.510826
0.601;-0.509160
0.602;-0.507498
0.603;-0.505838
0.604;-0.504181
0.605;-0.502527
0.606;-0.500875
0.607;-0.499226
0.608;-0.497580
0.609;-0.495937
0.610;-0.494296
0.611;-0.492658
0.612;-0.491023
0.613;-0.489390
0.614;-0.487760
0.615;-0.486133
0.616;-0.484508
0.617;-0.482886
0.618;-0.481267
0.619;-0.479650
0.620;-0.478036
0.621;-0.476424
0.622;-0.474815
0.623;-0.473209
0.624;-0.471605
0.625;-0.470004
0.626;-0.468405
0.627;-0.466809
0.628;-0.465215
0.629;-0.463624
0.630;-0.462035
0.631;-0.460449
0.632;-0.458866
0.633;-0.457285
0.634;-0.455706
0.635;-0.454130
0.636;-0.452557
0.637;-0.450986
0.638;-0.449417
0.639;-0.447851
0.640;-0.446287
0.641;-0.444726
0.642;-0.443167
0.643;-0.441611
0.644;-0.440057
0.645;-0.438505
0.646;-0.436956
0.647;-0.435409
0.648;-0.433865
0.649;-0.432323
0.650;-0.430783
0.651;-0.429246
0.652;-0.427711
0.653;-0.426178
0.654;-0.424648
0.655;-0.423120
0.656;-0.421594
0.657;-0.420071
0.658;-0.418550
0.659;-0.417032
0.660;-0.415515
0.661;-0.414001
0.662;-0.412490
0.663;-0.410980
0.664;-0.409473
0.665;-0.407968
0.666;-0.406466
0.667;-0.404965
0.668;-0.403467
0.669;-0.401971
0.670;-0.400478
0.671;-0.398986
0.672;-0.397497
0.673;-0.396010
0.674;-0.394525
0.675;-0.393043
0.676;-0.391562
0.677;-0.390084
0.678;-0.388608
0.679;-0.387134
0.680;-0.385662
0.681;-0.384193
0.682;-0.382726
0.683;-0.381260
0.684;-0.379797
0.685;-0.378336
0.686;-0.376878
0.687;-0.375421
0.688;-0.373966
0.689;-0.372514
0.690;-0.371064
0.691;-0.369615
0.692;-0.368169
0.693;-0.366725
0.694;-0.365283
0.695;-0.363843
0.696;-0.362406
0.697;-0.360970
0.698;-0.359536
0.699;-0.358104
0.700;-0.356675
0.701;-0.355247
0.702;-0.353822
0.703;-0.352398
0.704;-0.350977
0.705;-0.349557
0.706;-0.348140
0.707;-0.346725
0.708;-0.345311
0.709;-0.343900
0.710;-0.342490
0.711;-0.341083
0.712;-0.339677
0.713;-0.338274
0.714;-0.336872
0.715;-0.335473
0.716;-0.334075
0.717;-0.332679
0.718;-0.331286
0.719;-0.329894
0.720;-0.328504
0.721;-0.327116
0.722;-0.325730
0.723;-0.324346
0.724;-0.322964
0.725;-0.321584
0.726;-0.320205
0.727;-0.318829
0.728;-0.317454
0.729;-0.316082
0.730;-0.314711
0.731;-0.313342
0.732;-0.311975
0.733;-0.310610
0.734;-0.309246
0.735;-0.307885
0.736;-0.306525
0.737;-0.305167
0.738;-0.303811
0.739;-0.302457
0.740;-0.301105
0.741;-0.299755
0.742;-0.298406
0.743;-0.297059
0.744;-0.295714
0.745;-0.294371
0.746;-0.293030
0.747;-0.291690
0.748;-0.290352
0.749;-0.289016
0.750;-0.287682
0.751;-0.286350
0.752;-0.285019
0.753;-0.283690
0.754;-0.282363
0.755;-0.281038
0.756;-0.279714
0.757;-0.278392
0.758;-0.277072
0.759;-0.275753
0.760;-0.274437
0.761;-0.273122
0.762;-0.271809
0.763;-0.270497
0.764;-0.269187
0.765;-0.267879
0.766;-0.266573
0.767;-0.265268
0.768;-0.263966
0.769;-0.262664
0.770;-0.261365
0.771;-0.260067
0.772;-0.258771
0.773;-0.257476
0.774;-0.256183
0.775;-0.254892
0.776;-0.253603
0.777;-0.252315
0.778;-0.251029
0.779;-0.249744
0.780;-0.248461
0.781;-0.247180
0.782;-0.245901
0.783;-0.244623
0.784;-0.243346
0.785;-0.242072
0.786;-0.240798
0.787;-0.239527
0.788;-0.238257
0.789;-0.236989
0.790;-0.235722
0.791;-0.234457
0.792;-0.233194
0.793;-0.231932
0.794;-0.230672
0.795;-0.229413
0.796;-0.228156
0.797;-0.226901
0.798;-0.225647
0.799;-0.224394
0.800;-0.223144
0.801;-0.221894
0.802;-0.220647
0.803;-0.219401
0.804;-0.218156
0.805;-0.216913
0.806;-0.215672
0.807;-0.214432
0.808;-0.213193
0.809;-0.211956
0.810;-0.210721
0.811;-0.209487
0.812;-0.208255
0.813;-0.207024
0.814;-0.205795
0.815;-0.204567
0.816;-0.203341
0.817;-0.202116
0.818;-0.200893
0.819;-0.199671
0.820;-0.198451
0.821;-0.197232
0.822;-0.196015
0.823;-0.194799
0.824;-0.193585
0.825;-0.192372
0.826;-0.191161
0.827;-0.189951
0.828;-0.188742
0.829;-0.187535
0.830;-0.186330
0.831;-0.185125
0.832;-0.183923
0.833;-0.182722
0.834;-0.181522
0.835;-0.180324
0.836;-0.179127
0.837;-0.177931
0.838;-0.176737
0.839;-0.175545
0.840;-0.174353
0.841;-0.173164
0.842;-0.171975
0.843;-0.170788
0.844;-0.169603
0.845;-0.168419
0.846;-0.167236
0.847;-0.166055
0.848;-0.164875
0.849;-0.163696
0.850;-0.162519
0.851;-0.161343
0.852;-0.160169
0.853;-0.158996
0.854;-0.157824
0.855;-0.156654
0.856;-0.155485
0.857;-0.154317
0.858;-0.153151
0.859;-0.151986
0.860;-0.150823
0.861;-0.149661
0.862;-0.148500
0.863;-0.147341
0.864;-0.146183
0.865;-0.145026
0.866;-0.143870
0.867;-0.142716
0.868;-0.141564
0.869;-0.140412
0.870;-0.139262
0.871;-0.138113
0.872;-0.136966
0.873;-0.135820
0.874;-0.134675
0.875;-0.133531
0.876;-0.132389
0.877;-0.131248
0.878;-0.130109
0.879;-0.128970
0.880;-0.127833
0.881;-0.126698
0.882;-0.125563
0.883;-0.124430
0.884;-0.123298
0.885;-0.122168
0.886;-0.121038
0.887;-0.119910
0.888;-0.118784
0.889;-0.117658
