x;value
0.010;-6.643796
0.011;-6.506298
0.012;-6.380773
0.013;-6.265299
0.014;-6.158386
0.015;-6.058856
0.016;-5.965748
0.017;-5.878287
0.018;-5.795827
0.019;-5.717828
0.020;-5.643829
0.021;-5.573440
0.022;-5.506327
0.023;-5.442198
0.024;-5.380799
0.025;-5.321907
0.026;-5.265325
0.027;-5.210877
0.028;-5.158409
0.029;-5.107785
0.030;-5.058876
0.031;-5.011570
0.032;-4.965766
0.033;-4.921373
0.034;-4.878307
0.035;-4.836486
0.036;-4.795844
0.037;-4.756317
0.038;-4.717842
0.039;-4.680369
0.040;-4.643845
0.041;-4.608219
0.042;-4.573454
0.043;-4.539507
0.044;-4.506341
0.045;-4.473920
0.046;-4.442212
0.047;-4.411186
0.048;-4.380811
0.049;-4.351064
0.050;-4.321917
0.051;-4.293350
0.052;-4.265336
0.053;-4.237856
0.054;-4.210887
0.055;-4.184417
0.056;-4.158421
0.057;-4.132885
0.058;-4.107797
0.059;-4.083134
0.060;-4.058885
0.061;-4.035040
0.062;-4.011581
0.063;-3.988499
0.064;-3.965778
0.065;-3.943410
0.066;-3.921383
0.067;-3.899689
0.068;-3.878314
0.069;-3.857254
0.070;-3.836495
0.071;-3.816032
0.072;-3.795853
0.073;-3.775954
0.074;-3.756326
0.075;-3.736961
0.076;-3.717852
0.077;-3.698992
0.078;-3.680377
0.079;-3.662000
0.080;-3.643850
0.081;-3.625929
0.082;-3.608229
0.083;-3.590739
0.084;-3.573463
0.085;-3.556390
0.086;-3.539515
0.087;-3.522837
0.088;-3.506349
0.089;-3.490046
0.090;-3.473927
0.091;-3.457987
0.092;-3.442219
0.093;-3.426621
0.094;-3.411191
0.095;-3.395925
0.096;-3.380818
0.097;-3.365868
0.098;-3.351071
0.099;-3.336425
0.100;-3.321926
0.101;-3.307568
0.102;-3.293355
0.103;-3.279280
0.104;-3.265342
0.105;-3.251537
0.106;-3.237860
0.107;-3.224315
0.108;-3.210893
0.109;-3.197597
