x;value
0.010;-1.999983
0.011;-1.958592
0.012;-1.920805
0.013;-1.886044
0.014;-1.853860
0.015;-1.823899
0.016;-1.795870
0.017;-1.769542
0.018;-1.744719
0.019;-1.721239
0.020;-1.698963
0.021;-1.677774
0.022;-1.657571
0.023;-1.638266
0.024;-1.619783
0.025;-1.602055
0.026;-1.585022
0.027;-1.568631
0.028;-1.552837
0.029;-1.537598
0.030;-1.522875
0.031;-1.508634
0.032;-1.494846
0.033;-1.481482
0.034;-1.468518
0.035;-1.455928
0.036;-1.443694
0.037;-1.431795
0.038;-1.420213
0.039;-1.408932
0.040;-1.397937
0.041;-1.387213
0.042;-1.376748
0.043;-1.366529
0.044;-1.356545
0.045;-1.346785
0.046;-1.337240
0.047;-1.327900
0.048;-1.318756
0.049;-1.309802
0.050;-1.301028
0.051;-1.292428
0.052;-1.283995
0.053;-1.275723
0.054;-1.267604
0.055;-1.259636
0.056;-1.251810
0.057;-1.244123
0.058;-1.236571
0.059;-1.229147
0.060;-1.221847
0.061;-1.214669
0.062;-1.207607
0.063;-1.200659
0.064;-1.193819
0.065;-1.187086
0.066;-1.180455
0.067;-1.173924
0.068;-1.167490
0.069;-1.161150
0.070;-1.154901
0.071;-1.148741
0.072;-1.142666
0.073;-1.136676
0.074;-1.130767
0.075;-1.124938
0.076;-1.119186
0.077;-1.113508
0.078;-1.107904
0.079;-1.102372
0.080;-1.096909
0.081;-1.091514
0.082;-1.086186
0.083;-1.080921
0.084;-1.075720
0.085;-1.070581
0.086;-1.065501
0.087;-1.060480
0.088;-1.055517
0.089;-1.050609
0.090;-1.045757
0.091;-1.040958
0.092;-1.036212
0.093;-1.031516
0.094;-1.026872
0.095;-1.022276
0.096;-1.017728
0.097;-1.013228
0.098;-1.008774
0.099;-1.004365
0.100;-1.000000
0.101;-0.995678
0.102;-0.991399
0.103;-0.987162
0.104;-0.982967
0.105;-0.978811
0.106;-0.974694
0.107;-0.970616
0.108;-0.966576
0.109;-0.962573
0.110;-0.958607
0.111;-0.954677
0.112;-0.950782
0.113;-0.946921
0.114;-0.943095
0.115;-0.939302
0.116;-0.935542
0.117;-0.931814
0.118;-0.928118
0.119;-0.924453
0.120;-0.920818
0.121;-0.917215
0.122;-0.913640
0.123;-0.910094
0.124;-0.906578
0.125;-0.903090
0.126;-0.899629
0.127;-0.896196
0.128;-0.892790
0.129;-0.889410
0.130;-0.886056
0.131;-0.882729
0.132;-0.879426
0.133;-0.876148
0.134;-0.872895
0.135;-0.869666
0.136;-0.866461
0.137;-0.863280
0.138;-0.860121
0.139;-0.856985
0.140;-0.853872
0.141;-0.850781
0.142;-0.847712
0.143;-0.844664
0.144;-0.841638
0.145;-0.838632
0.146;-0.835647
0.147;-0.832683
0.148;-0.829738
0.149;-0.826814
0.150;-0.823909
0.151;-0.821023
0.152;-0.818156
0.153;-0.815309
0.154;-0.812480
0.155;-0.809669
0.156;-0.806875
0.157;-0.804100
0.158;-0.801343
0.159;-0.798603
0.160;-0.795880
0.161;-0.793174
0.162;-0.790485
0.163;-0.787813
0.164;-0.785156
0.165;-0.782516
0.166;-0.779892
0.167;-0.777284
0.168;-0.774691
0.169;-0.772113
0.170;-0.769551
0.171;-0.767004
0.172;-0.764472
0.173;-0.761954
0.174;-0.759451
0.175;-0.756962
0.176;-0.754487
0.177;-0.752027
0.178;-0.749580
0.179;-0.747147
0.180;-0.744728
0.181;-0.742322
0.182;-0.739929
0.183;-0.737549
0.184;-0.735182
0.185;-0.732828
0.186;-0.730487
0.187;-0.728159
0.188;-0.725842
0.189;-0.723538
0.190;-0.721247
0.191;-0.718967
0.192;-0.716699
0.193;-0.714443
0.194;-0.712198
0.195;-0.709965
0.196;-0.707744
0.197;-0.705534
0.198;-0.703335
0.199;-0.701147
0.200;-0.698970
0.201;-0.696804
0.202;-0.694649
0.203;-0.692504
0.204;-0.690370
0.205;-0.688247
0.206;-0.686133
0.207;-0.684030
0.208;-0.681937
0.209;-0.679854
0.210;-0.677781
0.211;-0.675718
0.212;-0.673664
0.213;-0.671621
0.214;-0.669586
0.215;-0.667562
0.216;-0.665546
0.217;-0.663540
0.218;-0.661544
0.219;-0.659556
0.220;-0.657578
0.221;-0.655608
0.222;-0.653647
0.223;-0.651696
0.224;-0.649752
0.225;-0.647818
0.226;-0.645892
0.227;-0.643975
0.228;-0.642065
0.229;-0.640165
0.230;-0.638272
0.231;-0.636388
0.232;-0.634512
0.233;-0.632644
0.234;-0.630784
0.235;-0.628932
0.236;-0.627088
0.237;-0.625252
0.238;-0.623423
0.239;-0.621602
0.240;-0.619789
0.241;-0.617983
0.242;-0.616185
0.243;-0.614394
0.244;-0.612611
0.245;-0.610834
0.246;-0.609065
0.247;-0.607304
0.248;-0.605549
0.249;-0.603801
0.250;-0.602060
0.251;-0.600326
0.252;-0.598599
0.253;-0.596880
0.254;-0.595166
0.255;-0.593460
0.256;-0.591760
0.257;-0.590067
0.258;-0.588381
0.259;-0.586701
0.260;-0.585027
0.261;-0.583360
0.262;-0.581699
0.263;-0.580045
0.264;-0.578397
0.265;-0.576754
0.266;-0.575119
0.267;-0.573489
0.268;-0.571866
0.269;-0.570248
0.270;-0.568637
0.271;-0.567031
0.272;-0.565432
0.273;-0.563838
0.274;-0.562250
0.275;-0.560668
0.276;-0.559091
0.277;-0.557521
0.278;-0.555956
0.279;-0.554396
0.280;-0.552842
0.281;-0.551294
0.282;-0.549751
0.283;-0.548214
0.284;-0.546682
0.285;-0.545156
0.286;-0.543634
0.287;-0.542119
0.288;-0.540608
0.289;-0.539102
0.290;-0.537602
0.291;-0.536107
0.292;-0.534617
0.293;-0.533133
0.294;-0.531653
0.295;-0.530178
0.296;-0.528708
0.297;-0.527244
0.298;-0.525784
0.299;-0.524329
0.300;-0.522879
0.301;-0.521434
0.302;-0.519993
0.303;-0.518558
0.304;-0.517127
0.305;-0.515700
0.306;-0.514279
0.307;-0.512862
0.308;-0.511450
0.309;-0.510042
0.310;-0.508639
0.311;-0.507240
0.312;-0.505846
0.313;-0.504456
0.314;-0.503071
0.315;-0.501690
0.316;-0.500313
0.317;-0.498941
0.318;-0.497573
0.319;-0.496210
0.320;-0.494850
0.321;-0.493495
0.322;-0.492144
0.323;-0.490798
0.324;-0.489455
0.325;-0.488117
0.326;-0.486783
0.327;-0.485453
0.328;-0.484126
0.329;-0.482804
0.330;-0.481486
0.331;-0.480172
0.332;-0.478862
0.333;-0.477556
0.334;-0.476254
0.335;-0.474956
0.336;-0.473661
0.337;-0.472370
0.338;-0.471084
0.339;-0.469801
0.340;-0.468521
0.341;-0.467246
0.342;-0.465974
0.343;-0.464706
0.344;-0.463442
0.345;-0.462181
0.346;-0.460924
0.347;-0.459671
0.348;-0.458421
0.349;-0.457175
0.350;-0.455932
0.351;-0.454693
0.352;-0.453458
0.353;-0.452226
0.354;-0.450997
0.355;-0.449772
0.356;-0.448550
0.357;-0.447332
0.358;-0.446117
0.359;-0.444906
0.360;-0.443698
0.361;-0.442493
0.362;-0.441292
0.363;-0.440094
0.364;-0.438899
0.365;-0.437708
0.366;-0.436519
0.367;-0.435334
0.368;-0.434152
0.369;-0.432974
0.370;-0.431799
0.371;-0.430626
0.372;-0.429457
0.373;-0.428292
0.374;-0.427129
0.375;-0.425969
0.376;-0.424812
0.377;-0.423659
0.378;-0.422509
0.379;-0.421361
0.380;-0.420217
0.381;-0.419075
0.382;-0.417937
0.383;-0.416801
0.384;-0.415669
0.385;-0.414540
0.386;-0.413413
0.387;-0.412289
0.388;-0.411169
0.389;-0.410051
0.390;-0.408936
0.391;-0.407824
0.392;-0.406714
0.393;-0.405608
0.394;-0.404504
0.395;-0.403403
0.396;-0.402305
0.397;-0.401210
0.398;-0.400117
0.399;-0.399028
0.400;-0.397940
0.401;-0.396856
0.402;-0.395774
0.403;-0.394695
0.404;-0.393619
0.405;-0.392545
0.406;-0.391474
0.407;-0.390406
0.408;-0.389340
0.409;-0.388277
0.410;-0.387216
0.411;-0.386159
0.412;-0.385103
0.413;-0.384050
0.414;-0.383000
0.415;-0.381952
0.416;-0.380907
0.417;-0.379864
0.418;-0.378824
0.419;-0.377786
0.420;-0.376751
0.421;-0.375718
0.422;-0.374688
0.423;-0.373660
0.424;-0.372635
0.425;-0.371611
0.426;-0.370591
0.427;-0.369572
0.428;-0.368557
0.429;-0.367543
0.430;-0.366532
0.431;-0.365523
0.432;-0.364517
0.433;-0.363512
0.434;-0.362511
0.435;-0.361511
0.436;-0.360514
0.437;-0.359519
0.438;-0.358526
0.439;-0.357536
0.440;-0.356547
0.441;-0.355562
0.442;-0.354578
0.443;-0.353596
0.444;-0.352617
0.445;-0.351640
0.446;-0.350665
0.447;-0.349693
0.448;-0.348722
0.449;-0.347754
0.450;-0.346788
0.451;-0.345824
0.452;-0.344862
0.453;-0.343902
0.454;-0.342944
0.455;-0.341989
0.456;-0.341035
0.457;-0.340084
0.458;-0.339135
0.459;-0.338188
0.460;-0.337243
0.461;-0.336299
0.462;-0.335358
0.463;-0.334419
0.464;-0.333482
0.465;-0.332547
0.466;-0.331615
0.467;-0.330683
0.468;-0.329754
0.469;-0.328827
0.470;-0.327903
0.471;-0.326979
0.472;-0.326058
0.473;-0.325139
0.474;-0.324222
0.475;-0.323306
0.476;-0.322393
0.477;-0.321482
0.478;-0.320572
0.479;-0.319664
0.480;-0.318759
0.481;-0.317855
0.482;-0.316953
0.483;-0.316053
0.484;-0.315155
0.485;-0.314258
0.486;-0.313364
0.487;-0.312471
0.488;-0.311581
0.489;-0.310692
0.490;-0.309804
0.491;-0.308919
0.492;-0.308035
0.493;-0.307153
0.494;-0.306273
0.495;-0.305395
0.496;-0.304518
0.497;-0.303644
0.498;-0.302771
0.499;-0.301900
0.500;-0.301030
0.501;-0.300162
0.502;-0.299296
0.503;-0.298432
0.504;-0.297570
0.505;-0.296709
0.506;-0.295850
0.507;-0.294992
0.508;-0.294137
0.509;-0.293282
0.510;-0.292430
0.511;-0.291580
0.512;-0.290730
0.513;-0.289883
0.514;-0.289037
0.515;-0.288193
0.516;-0.287350
0.517;-0.286510
0.518;-0.285670
0.519;-0.284833
0.520;-0.283997
0.521;-0.283162
0.522;-0.282330
0.523;-0.281499
0.524;-0.280669
0.525;-0.279841
0.526;-0.279014
0.527;-0.278190
0.528;-0.277366
0.529;-0.276545
0.530;-0.275724
0.531;-0.274906
0.532;-0.274089
0.533;-0.273273
0.534;-0.272459
0.535;-0.271647
0.536;-0.270835
0.537;-0.270026
0.538;-0.269218
0.539;-0.268412
0.540;-0.267606
0.541;-0.266803
0.542;-0.266001
0.543;-0.265200
0.544;-0.264401
0.545;-0.263604
0.546;-0.262807
0.547;-0.262013
0.548;-0.261220
0.549;-0.260428
0.550;-0.259638
0.551;-0.258848
0.552;-0.258061
0.553;-0.257275
0.554;-0.256491
0.555;-0.255707
0.556;-0.254925
0.557;-0.254145
0.558;-0.253366
0.559;-0.252589
0.560;-0.251812
0.561;-0.251037
0.562;-0.250264
0.563;-0.249492
0.564;-0.248721
0.565;-0.247952
0.566;-0.247184
0.567;-0.246417
0.568;-0.245652
0.569;-0.244888
0.570;-0.244125
0.571;-0.243364
0.572;-0.242604
0.573;-0.241845
0.574;-0.241088
0.575;-0.240332
0.576;-0.239578
0.577;-0.238824
0.578;-0.238072
0.579;-0.237322
0.580;-0.236572
0.581;-0.235824
0.582;-0.235077
0.583;-0.234332
0.584;-0.233587
0.585;-0.232844
0.586;-0.232102
0.587;-0.231362
0.588;-0.230623
0.589;-0.229885
0.590;-0.229148
0.591;-0.228413
0.592;-0.227679
0.593;-0.226946
0.594;-0.226214
0.595;-0.225483
0.596;-0.224754
0.597;-0.224026
0.598;-0.223299
0.599;-0.222574
0.600;-0.221849
0.601;-0.221126
0.602;-0.220404
0.603;-0.219683
0.604;-0.218963
0.605;-0.218245
0.606;-0.217527
0.607;-0.216811
0.608;-0.216096
0.609;-0.215383
0.610;-0.214670
0.611;-0.213959
0.612;-0.213249
0.613;-0.212540
0.614;-0.211832
0.615;-0.211125
0.616;-0.210419
0.617;-0.209715
0.618;-0.209012
0.619;-0.208310
0.620;-0.207609
0.621;-0.206909
0.622;-0.206210
0.623;-0.205512
0.624;-0.204816
0.625;-0.204120
0.626;-0.203426
0.627;-0.202733
0.628;-0.202040
0.629;-0.201350
0.630;-0.200659
0.631;-0.199971
0.632;-0.199283
0.633;-0.198597
0.634;-0.197911
0.635;-0.197226
0.636;-0.196543
0.637;-0.195861
0.638;-0.195180
0.639;-0.194499
0.640;-0.193820
0.641;-0.193142
0.642;-0.192465
0.643;-0.191789
0.644;-0.191115
0.645;-0.190440
0.646;-0.189768
0.647;-0.189096
0.648;-0.188425
0.649;-0.187756
0.650;-0.187087
0.651;-0.186419
0.652;-0.185753
0.653;-0.185087
0.654;-0.184422
0.655;-0.183759
0.656;-0.183096
0.657;-0.182435
0.658;-0.181774
0.659;-0.181115
0.660;-0.180456
0.661;-0.179799
0.662;-0.179142
0.663;-0.178487
0.664;-0.177832
0.665;-0.177178
0.666;-0.176526
0.667;-0.175874
0.668;-0.175224
0.669;-0.174574
0.670;-0.173926
0.671;-0.173278
0.672;-0.172631
0.673;-0.171985
0.674;-0.171340
0.675;-0.170697
0.676;-0.170053
0.677;-0.169411
0.678;-0.168770
0.679;-0.168130
0.680;-0.167491
0.681;-0.166853
0.682;-0.166216
0.683;-0.165579
0.684;-0.164944
0.685;-0.164309
0.686;-0.163676
0.687;-0.163043
0.688;-0.162412
0.689;-0.161781
0.690;-0.161151
0.691;-0.160522
0.692;-0.159894
0.693;-0.159267
0.694;-0.158641
0.695;-0.158015
0.696;-0.157391
0.697;-0.156767
0.698;-0.156145
0.699;-0.155523
0.700;-0.154902
0.701;-0.154282
0.702;-0.153663
0.703;-0.153045
0.704;-0.152428
0.705;-0.151811
0.706;-0.151195
0.707;-0.150581
0.708;-0.149967
0.709;-0.149354
0.710;-0.148742
0.711;-0.148131
0.712;-0.147520
0.713;-0.146911
0.714;-0.146302
0.715;-0.145694
0.716;-0.145087
0.717;-0.144481
0.718;-0.143876
0.719;-0.143271
0.720;-0.142668
0.721;-0.142065
0.722;-0.141463
0.723;-0.140862
0.724;-0.140262
0.725;-0.139662
0.726;-0.139063
0.727;-0.138466
0.728;-0.137869
0.729;-0.137273
0.730;-0.136677
0.731;-0.136083
0.732;-0.135489
0.733;-0.134896
0.734;-0.134304
0.735;-0.133713
0.736;-0.133122
0.737;-0.132532
0.738;-0.131944
0.739;-0.131356
0.740;-0.130768
0.741;-0.130182
0.742;-0.129596
0.743;-0.129011
0.744;-0.128427
0.745;-0.127844
0.746;-0.127261
0.747;-0.126679
0.748;-0.126098
0.749;-0.125518
0.750;-0.124939
0.751;-0.124360
0.752;-0.123782
0.753;-0.123205
0.754;-0.122629
0.755;-0.122053
0.756;-0.121478
0.757;-0.120904
0.758;-0.120331
0.759;-0.119758
0.760;-0.119187
0.761;-0.118615
0.762;-0.118045
0.763;-0.117475
0.764;-0.116907
0.765;-0.116338
0.766;-0.115771
0.767;-0.115205
0.768;-0.114639
0.769;-0.114074
0.770;-0.113509
0.771;-0.112946
0.772;-0.112383
0.773;-0.111821
0.774;-0.111259
0.775;-0.110698
0.776;-0.110138
0.777;-0.109579
0.778;-0.109021
0.779;-0.108463
0.780;-0.107905
0.781;-0.107349
0.782;-0.106794
0.783;-0.106239
0.784;-0.105684
0.785;-0.105131
0.786;-0.104577
0.787;-0.104025
0.788;-0.103474
0.789;-0.102923
0.790;-0.102373
0.791;-0.101823
0.792;-0.101275
0.793;-0.100727
0.794;-0.100180
0.795;-0.099633
0.796;-0.099087
0.797;-0.098542
0.798;-0.097997
0.799;-0.097453
0.800;-0.096910
0.801;-0.096367
0.802;-0.095826
0.803;-0.095285
0.804;-0.094744
0.805;-0.094204
0.806;-0.093665
0.807;-0.093127
0.808;-0.092589
0.809;-0.092051
0.810;-0.091515
0.811;-0.090979
0.812;-0.090444
0.813;-0.089909
0.814;-0.089376
0.815;-0.088842
0.816;-0.088310
0.817;-0.087778
0.818;-0.087247
0.819;-0.086716
0.820;-0.086186
0.821;-0.085657
0.822;-0.085128
0.823;-0.084600
0.824;-0.084073
0.825;-0.083546
0.826;-0.083020
0.827;-0.082495
0.828;-0.081970
0.829;-0.081445
0.830;-0.080922
0.831;-0.080399
0.832;-0.079877
0.833;-0.079355
0.834;-0.078834
0.835;-0.078314
0.836;-0.077794
0.837;-0.077275
0.838;-0.076756
0.839;-0.076238
0.840;-0.075721
0.841;-0.075204
0.842;-0.074688
0.843;-0.074172
0.844;-0.073658
0.845;-0.073144
0.846;-0.072630
0.847;-0.072117
0.848;-0.071604
0.849;-0.071092
0.850;-0.070581
0.851;-0.070070
0.852;-0.069561
0.853;-0.069051
0.854;-0.068542
0.855;-0.068034
0.856;-0.067526
0.857;-0.067019
0.858;-0.066513
0.859;-0.066007
0.860;-0.065502
0.861;-0.064997
0.862;-0.064493
0.863;-0.063989
0.864;-0.063487
0.865;-0.062984
0.866;-0.062482
0.867;-0.061981
0.868;-0.061481
0.869;-0.060980
0.870;-0.060481
0.871;-0.059982
0.872;-0.059484
0.873;-0.058986
0.874;-0.058489
0.875;-0.057992
0.876;-0.057496
0.877;-0.057000
0.878;-0.056506
0.879;-0.056011
0.880;-0.055517
0.881;-0.055024
0.882;-0.054531
0.883;-0.054039
0.884;-0.053548
0.885;-0.053057
0.886;-0.052566
0.887;-0.052076
0.888;-0.051587
0.889;-0.051098
0.890;-0.050610
0.891;-0.050122
0.892;-0.049635
0.893;-0.049149
0.894;-0.048663
0.895;-0.048177
0.896;-0.047692
0.897;-0.047207
0.898;-0.046724
0.899;-0.046240
0.900;-0.045758
0.901;-0.045275
0.902;-0.044794
0.903;-0.044312
0.904;-0.043832
0.905;-0.043351
0.906;-0.042872
0.907;-0.042393
0.908;-0.041914
0.909;-0.041436
0.910;-0.040959
0.911;-0.040481
0.912;-0.040005
0.913;-0.039529
0.914;-0.039054
0.915;-0.038579
0.916;-0.038105
0.917;-0.037631
0.918;-0.037157
0.919;-0.036684
0.920;-0.036212
0.921;-0.035740
0.922;-0.035269
0.923;-0.034798
0.924;-0.034328
0.925;-0.033858
0.926;-0.033389
0.927;-0.032920
0.928;-0.032452
0.929;-0.031985
0.930;-0.031517
0.931;-0.031050
0.932;-0.030584
0.933;-0.030118
0.934;-0.029653
0.935;-0.029189
0.936;-0.028724
0.937;-0.028260
0.938;-0.027797
0.939;-0.027335
0.940;-0.026872
0.941;-0.026410
0.942;-0.025949
0.943;-0.025488
0.944;-0.025028
