target_users,load_req_min,samples,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,max_ms,error_percent
12,480,1227,398.3838630806846,404.0,419.0,432.0,459.18000000000006,667,0.0
15,600,1514,446.94848084544253,417.0,449.0,461.0,1120.3499999999995,3492,0.0
18,720,1559,782.4265554842848,444.0,501.0,3373.8999999999974,8366.0,8965,0.12828736369467605
21,840,2130,478.0755868544601,488.0,508.0,520.0,554.71,599,0.0
24,960,2353,603.7165320866978,512.0,673.0,776.0,1688.0,11238,0.042498937526561836
27,1080,1768,2061.6838235294117,2470.0,3384.0,3702.0,4116.0,4703,0.0
30,1200,1968,1667.7088414634147,621.0,5012.5,5757.65,7642.0,7652,0.0
